timestamp	label	chunk_count	per_child_split	pool_size	iters	status	mean_ms	sd_ms	min_ms	max_ms	suite_files
2026-04-22T22:20:41Z	smoke	4	1000	2	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/SyntheticBigDescribe.elm
2026-04-22T22:22:34Z	smoke	4	1000	2	2	OK	2901.6	18.4	2888.6	2914.6	tests/SyntheticBigDescribe.elm
2026-04-22T22:22:54Z	hang-probe	1	10	1	1	OK	2925.5	0.0	2925.5	2925.5	tests/SyntheticBigDescribe.elm
2026-04-22T22:23:20Z	hang-probe-baref	1	10	1	1	OK	3025.3	0.0	3025.3	3025.3	tests/SyntheticBigDescribe.elm
2026-04-22T22:23:49Z	hang-probe-4x15	4	10	4	1	OK	3220.9	0.0	3220.9	3220.9	tests/SyntheticBigDescribe.elm
2026-04-22T22:26:13Z	listtests-4x	4	10	4	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTests.elm
2026-04-22T22:26:33Z	fuzz-shape	4	10	4	1	OK	3209.3	0.0	3209.3	3209.3	tests/SyntheticBigDescribe.elm
2026-04-22T22:27:12Z	nested-shape	4	10	4	1	OK	3324.3	0.0	3324.3	3324.3	tests/SyntheticBigDescribe.elm
2026-04-22T22:27:40Z	nested-77	4	10	4	1	OK	3392.2	0.0	3392.2	3392.2	tests/SyntheticBigDescribe.elm
2026-04-22T22:29:31Z	listtrim15-4x	4	10	4	1	OK	3114.2	0.0	3114.2	3114.2	tests/ListTestsTrimmed.elm
2026-04-22T22:29:55Z	listtrim-30-4x	4	10	4	1	OK	3960.7	0.0	3960.7	3960.7	tests/ListTestsTrimmed.elm
2026-04-22T22:30:05Z	listtrim-45-4x	4	10	4	1	OK	4612.8	0.0	4612.8	4612.8	tests/ListTestsTrimmed.elm
2026-04-22T22:31:05Z	listtrim-60-4x	4	10	4	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTestsTrimmed.elm
2026-04-22T22:32:19Z	listtrim60-8x	8	10	4	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTestsTrimmed.elm
2026-04-22T22:34:01Z	listtrim60-isolation	1	10	1	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTestsTrimmed.elm
2026-04-22T22:35:02Z	listtrim60-isolation	2	10	2	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTestsTrimmed.elm
2026-04-22T22:36:19Z	listtrim60-K5K6	5	10	4	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTestsTrimmed.elm
2026-04-22T22:37:19Z	listtrim60-K5K6	6	10	4	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTestsTrimmed.elm
2026-04-22T22:37:59Z	listtrim45-K1	1	10	1	1	OK	5513.4	0.0	5513.4	5513.4	tests/ListTestsTrimmed.elm
2026-04-22T22:39:05Z	listtrim60-pertest	60	10	4	1	OK	4729.0	0.0	4729.0	4729.0	tests/ListTestsTrimmed.elm
2026-04-22T22:40:50Z	listfull-pertest77	77	10	4	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTests.elm
2026-04-22T22:42:02Z	listfull-pertest-sweep	65	10	4	1	HANG	TIMEOUT	TIMEOUT	TIMEOUT	TIMEOUT	tests/ListTestsTrimmed.elm
